cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;ano;populacao;tipo;total_nascimentos;partos_cesareos;PROP_CESAREOS;ANO
170300;1703008;Babaçulândia;TO;2022;10413;Estimativa (Spline);93;54;58.06451612903226;2022
170305;1703057;Bandeirantes do Tocantins;TO;2022;3652;Estimativa (Spline);50;33;66.0;2022
170307;1703073;Barra do Ouro;TO;2022;4702;Estimativa (Spline);68;27;39.705882352941174;2022
170310;1703107;Barrolândia;TO;2022;5615;Estimativa (Spline);61;27;44.26229508196721;2022
170320;1703206;Bernardo Sayão;TO;2022;4424;Estimativa (Spline);45;23;51.11111111111111;2022
170330;1703305;Bom Jesus do Tocantins;TO;2022;5117;Estimativa (Spline);85;61;71.76470588235294;2022
170360;1703602;Brasilândia do Tocantins;TO;2022;2210;Estimativa (Spline);28;15;53.57142857142857;2022
170370;1703701;Brejinho de Nazaré;TO;2022;5489;Estimativa (Spline);53;24;45.28301886792453;2022
170380;1703800;Buriti do Tocantins;TO;2022;11665;Estimativa (Spline);120;50;41.66666666666667;2022
170382;1703826;Cachoeirinha;TO;2022;2273;Estimativa (Spline);26;20;76.92307692307693;2022
170384;1703842;Campos Lindos;TO;2022;10508;Estimativa (Spline);160;86;53.75;2022
170386;1703867;Cariri do Tocantins;TO;2022;4511;Estimativa (Spline);59;39;66.10169491525424;2022
170388;1703883;Carmolândia;TO;2022;2612;Estimativa (Spline);27;14;51.85185185185185;2022
170389;1703891;Carrasco Bonito;TO;2022;4119;Estimativa (Spline);54;24;44.44444444444444;2022
170390;1703909;Caseara;TO;2022;5522;Estimativa (Spline);62;28;45.16129032258064;2022
170410;1704105;Centenário;TO;2022;2913;Estimativa (Spline);15;8;53.333333333333336;2022
170460;1704600;Chapada de Areia;TO;2022;1433;Estimativa (Spline);26;14;53.84615384615385;2022
170510;1705102;Chapada da Natividade;TO;2022;3318;Estimativa (Spline);43;24;55.81395348837209;2022
170550;1705508;Colinas do Tocantins;TO;2022;36560;Estimativa (Spline);511;358;70.0587084148728;2022
170555;1705557;Combinado;TO;2022;4881;Estimativa (Spline);57;40;70.17543859649122;2022
170560;1705607;Conceição do Tocantins;TO;2022;4049;Estimativa (Spline);52;25;48.07692307692308;2022
170600;1706001;Couto Magalhães;TO;2022;5713;Estimativa (Spline);65;38;58.46153846153847;2022
170610;1706100;Cristalândia;TO;2022;7189;Estimativa (Spline);73;32;43.83561643835616;2022
170625;1706258;Crixás do Tocantins;TO;2022;1738;Estimativa (Spline);16;10;62.5;2022
170650;1706506;Darcinópolis;TO;2022;6289;Estimativa (Spline);102;52;50.98039215686274;2022
170700;1707009;Dianópolis;TO;2022;22493;Estimativa (Spline);291;155;53.264604810996566;2022
170710;1707108;Divinópolis do Tocantins;TO;2022;7048;Estimativa (Spline);87;36;41.37931034482759;2022
170720;1707207;Dois Irmãos do Tocantins;TO;2022;7097;Estimativa (Spline);82;43;52.4390243902439;2022
170730;1707306;Dueré;TO;2022;4654;Estimativa (Spline);58;36;62.06896551724138;2022
170740;1707405;Esperantina;TO;2022;11044;Estimativa (Spline);118;38;32.20338983050847;2022
170755;1707553;Fátima;TO;2022;3793;Estimativa (Spline);53;22;41.509433962264154;2022
170765;1707652;Figueirópolis;TO;2022;5218;Estimativa (Spline);58;37;63.793103448275865;2022
170770;1707702;Filadélfia;TO;2022;8812;Estimativa (Spline);102;61;59.80392156862745;2022
170820;1708205;Formoso do Araguaia;TO;2022;18433;Estimativa (Spline);278;174;62.589928057553955;2022
170825;1708254;Tabocão;TO;2022;2721;Estimativa (Spline);55;45;81.81818181818183;2022
170830;1708304;Goianorte;TO;2022;5115;Estimativa (Spline);49;30;61.224489795918366;2022
170900;1709005;Goiatins;TO;2022;13195;Estimativa (Spline);235;100;42.5531914893617;2022
170930;1709302;Guaraí;TO;2022;26520;Estimativa (Spline);330;236;71.51515151515152;2022
170950;1709500;Gurupi;TO;2022;89205;Estimativa (Spline);1244;907;72.90996784565917;2022
170980;1709807;Ipueiras;TO;2022;2073;Estimativa (Spline);9;8;88.88888888888889;2022
