cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;ano;populacao;tipo;total_obitos;obitos_mal_definidas;PROP_MAL_DEFINIDAS;TX_MAL_DEFINIDAS_P10K;ANO
171360;1713601;Monte do Carmo;TO;2022;8046;Estimativa (Spline);32;1;3.125;1.2428535918468804;2022
171370;1713700;Monte Santo do Tocantins;TO;2022;2340;Estimativa (Spline);17;1;5.88235294117647;4.273504273504273;2022
171380;1713809;Palmeiras do Tocantins;TO;2022;6719;Estimativa (Spline);30;2;6.666666666666667;2.976633427593392;2022
171395;1713957;Muricilândia;TO;2022;3638;Estimativa (Spline);22;0;0.0;0.0;2022
171420;1714203;Natividade;TO;2022;9237;Estimativa (Spline);50;5;10.0;5.413012882970661;2022
171430;1714302;Nazaré;TO;2022;3810;Estimativa (Spline);24;1;4.166666666666666;2.6246719160104988;2022
171488;1714880;Nova Olinda;TO;2022;11962;Estimativa (Spline);85;0;0.0;0.0;2022
171500;1715002;Nova Rosalândia;TO;2022;4296;Estimativa (Spline);37;0;0.0;0.0;2022
171510;1715101;Novo Acordo;TO;2022;4457;Estimativa (Spline);28;3;10.714285714285714;6.730984967466906;2022
171515;1715150;Novo Alegre;TO;2022;2288;Estimativa (Spline);18;1;5.555555555555555;4.370629370629371;2022
171525;1715259;Novo Jardim;TO;2022;2740;Estimativa (Spline);17;4;23.52941176470588;14.598540145985401;2022
171550;1715507;Oliveira de Fátima;TO;2022;1136;Estimativa (Spline);6;1;16.666666666666664;8.80281690140845;2022
171570;1715705;Palmeirante;TO;2022;6190;Estimativa (Spline);37;1;2.7027027027027026;1.6155088852988693;2022
171575;1715754;Palmeirópolis;TO;2022;7659;Estimativa (Spline);39;1;2.564102564102564;1.3056534795665231;2022
171610;1716109;Paraíso do Tocantins;TO;2022;53236;Estimativa (Spline);352;1;0.2840909090909091;0.1878428131339695;2022
171620;1716208;Paranã;TO;2022;10462;Estimativa (Spline);81;1;1.2345679012345678;0.9558401835213153;2022
171630;1716307;Pau D'Arco;TO;2022;4827;Estimativa (Spline);30;1;3.3333333333333335;2.0716801325875287;2022
171650;1716505;Pedro Afonso;TO;2022;14176;Estimativa (Spline);85;6;7.0588235294117645;4.232505643340858;2022
171660;1716604;Peixe;TO;2022;11859;Estimativa (Spline);53;0;0.0;0.0;2022
171665;1716653;Pequizeiro;TO;2022;5526;Estimativa (Spline);39;0;0.0;0.0;2022
171670;1716703;Colméia;TO;2022;8134;Estimativa (Spline);60;1;1.6666666666666667;1.2294074256208507;2022
171700;1717008;Pindorama do Tocantins;TO;2022;4421;Estimativa (Spline);38;0;0.0;0.0;2022
171720;1717206;Piraquê;TO;2022;2973;Estimativa (Spline);15;2;13.333333333333334;6.7272115708039015;2022
171750;1717503;Pium;TO;2022;7854;Estimativa (Spline);45;1;2.2222222222222223;1.2732365673542143;2022
171780;1717800;Ponte Alta do Bom Jesus;TO;2022;4558;Estimativa (Spline);24;1;4.166666666666666;2.1939447125932428;2022
171790;1717909;Ponte Alta do Tocantins;TO;2022;8218;Estimativa (Spline);52;2;3.8461538461538463;2.433682161109759;2022
171800;1718006;Porto Alegre do Tocantins;TO;2022;3200;Estimativa (Spline);21;3;14.285714285714285;9.375;2022
171820;1718204;Porto Nacional;TO;2022;55208;Estimativa (Spline);452;2;0.4424778761061947;0.3622663382118534;2022
171830;1718303;Praia Norte;TO;2022;8694;Estimativa (Spline);34;1;2.941176470588235;1.1502185415228894;2022
171840;1718402;Presidente Kennedy;TO;2022;3608;Estimativa (Spline);31;2;6.451612903225806;5.5432372505543235;2022
171845;1718451;Pugmil;TO;2022;2721;Estimativa (Spline);18;0;0.0;0.0;2022
171850;1718501;Recursolândia;TO;2022;4341;Estimativa (Spline);25;0;0.0;0.0;2022
171855;1718550;Riachinho;TO;2022;4691;Estimativa (Spline);23;0;0.0;0.0;2022
171865;1718659;Rio da Conceição;TO;2022;2205;Estimativa (Spline);12;0;0.0;0.0;2022
171870;1718709;Rio dos Bois;TO;2022;2893;Estimativa (Spline);14;0;0.0;0.0;2022
171875;1718758;Rio Sono;TO;2022;6354;Estimativa (Spline);34;1;2.941176470588235;1.5738117721120555;2022
171880;1718808;Sampaio;TO;2022;4891;Estimativa (Spline);27;1;3.7037037037037033;2.0445716622367613;2022
171884;1718840;Sandolândia;TO;2022;3416;Estimativa (Spline);16;0;0.0;0.0;2022
171886;1718865;Santa Fé do Araguaia;TO;2022;7725;Estimativa (Spline);40;1;2.5;1.2944983818770226;2022
171888;1718881;Santa Maria do Tocantins;TO;2022;3501;Estimativa (Spline);11;0;0.0;0.0;2022
171889;1718899;Santa Rita do Tocantins;TO;2022;2412;Estimativa (Spline);7;2;28.57142857142857;8.291873963515755;2022
171890;1718907;Santa Rosa do Tocantins;TO;2022;4873;Estimativa (Spline);32;4;12.5;8.208495793145905;2022
171900;1719004;Santa Tereza do Tocantins;TO;2022;2948;Estimativa (Spline);15;0;0.0;0.0;2022
172000;1720002;Santa Terezinha do Tocantins;TO;2022;2524;Estimativa (Spline);18;2;11.11111111111111;7.9239302694136295;2022
172010;1720101;São Bento do Tocantins;TO;2022;5550;Estimativa (Spline);31;0;0.0;0.0;2022
172015;1720150;São Félix do Tocantins;TO;2022;1642;Estimativa (Spline);8;0;0.0;0.0;2022
172020;1720200;São Miguel do Tocantins;TO;2022;12696;Estimativa (Spline);52;2;3.8461538461538463;1.575299306868305;2022
172025;1720259;São Salvador do Tocantins;TO;2022;3051;Estimativa (Spline);14;0;0.0;0.0;2022
172030;1720309;São Sebastião do Tocantins;TO;2022;4869;Estimativa (Spline);29;3;10.344827586206897;6.161429451632779;2022
172049;1720499;São Valério;TO;2022;3872;Estimativa (Spline);36;0;0.0;0.0;2022
172065;1720655;Silvanópolis;TO;2022;5453;Estimativa (Spline);52;1;1.9230769230769231;1.8338529249954154;2022
172080;1720804;Sítio Novo do Tocantins;TO;2022;9156;Estimativa (Spline);52;0;0.0;0.0;2022
172085;1720853;Sucupira;TO;2022;1986;Estimativa (Spline);9;0;0.0;0.0;2022
