cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;ano;populacao;tipo;n_medicos;TAXA_MEDICOS;ANO;MES
171550;1715507;Oliveira de Fátima;TO;2022;1136;Estimativa (Spline);1;0.8802816901408451;2022;0
171570;1715705;Palmeirante;TO;2022;6190;Estimativa (Spline);2;0.32310177705977383;2022;0
171575;1715754;Palmeirópolis;TO;2022;7659;Estimativa (Spline);2;0.2611306959133046;2022;0
171610;1716109;Paraíso do Tocantins;TO;2022;53236;Estimativa (Spline);2;0.0375685626267939;2022;0
171620;1716208;Paranã;TO;2022;10462;Estimativa (Spline);2;0.19116803670426305;2022;0
171630;1716307;Pau D'Arco;TO;2022;4827;Estimativa (Spline);2;0.41433602651750573;2022;0
171650;1716505;Pedro Afonso;TO;2022;14176;Estimativa (Spline);2;0.14108352144469524;2022;0
171660;1716604;Peixe;TO;2022;11859;Estimativa (Spline);2;0.16864828400371026;2022;0
171665;1716653;Pequizeiro;TO;2022;5526;Estimativa (Spline);2;0.3619254433586681;2022;0
171670;1716703;Colméia;TO;2022;8134;Estimativa (Spline);2;0.24588148512417016;2022;0
171700;1717008;Pindorama do Tocantins;TO;2022;4421;Estimativa (Spline);2;0.4523863379325944;2022;0
171720;1717206;Piraquê;TO;2022;2973;Estimativa (Spline);2;0.6727211570803902;2022;0
171750;1717503;Pium;TO;2022;7854;Estimativa (Spline);2;0.25464731347084285;2022;0
171780;1717800;Ponte Alta do Bom Jesus;TO;2022;4558;Estimativa (Spline);2;0.43878894251864853;2022;0
171790;1717909;Ponte Alta do Tocantins;TO;2022;8218;Estimativa (Spline);2;0.2433682161109759;2022;0
171800;1718006;Porto Alegre do Tocantins;TO;2022;3200;Estimativa (Spline);2;0.625;2022;0
171820;1718204;Porto Nacional;TO;2022;55208;Estimativa (Spline);2;0.036226633821185336;2022;0
171830;1718303;Praia Norte;TO;2022;8694;Estimativa (Spline);2;0.23004370830457788;2022;0
171840;1718402;Presidente Kennedy;TO;2022;3608;Estimativa (Spline);2;0.5543237250554324;2022;0
171845;1718451;Pugmil;TO;2022;2721;Estimativa (Spline);1;0.3675119441381845;2022;0
171850;1718501;Recursolândia;TO;2022;4341;Estimativa (Spline);2;0.46072333563695;2022;0
171855;1718550;Riachinho;TO;2022;4691;Estimativa (Spline);2;0.4263483265828181;2022;0
171865;1718659;Rio da Conceição;TO;2022;2205;Estimativa (Spline);1;0.45351473922902497;2022;0
171870;1718709;Rio dos Bois;TO;2022;2893;Estimativa (Spline);2;0.691323885240235;2022;0
