cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;ano;populacao;tipo;obitos_infantis;nascidos_vivos;TMI;ANO
171380;1713809;Palmeiras do Tocantins;TO;2022;6719;Estimativa (Spline);0;71;0.0;2022
171395;1713957;Muricilândia;TO;2022;3638;Estimativa (Spline);0;35;0.0;2022
171420;1714203;Natividade;TO;2022;9237;Estimativa (Spline);2;110;18.18181818181818;2022
171430;1714302;Nazaré;TO;2022;3810;Estimativa (Spline);2;61;32.786885245901644;2022
171488;1714880;Nova Olinda;TO;2022;11962;Estimativa (Spline);4;165;24.242424242424242;2022
171500;1715002;Nova Rosalândia;TO;2022;4296;Estimativa (Spline);0;35;0.0;2022
171510;1715101;Novo Acordo;TO;2022;4457;Estimativa (Spline);1;83;12.048192771084338;2022
171515;1715150;Novo Alegre;TO;2022;2288;Estimativa (Spline);1;11;90.9090909090909;2022
171525;1715259;Novo Jardim;TO;2022;2740;Estimativa (Spline);0;32;0.0;2022
171550;1715507;Oliveira de Fátima;TO;2022;1136;Estimativa (Spline);0;21;0.0;2022
171570;1715705;Palmeirante;TO;2022;6190;Estimativa (Spline);3;62;48.387096774193544;2022
171575;1715754;Palmeirópolis;TO;2022;7659;Estimativa (Spline);0;84;0.0;2022
171610;1716109;Paraíso do Tocantins;TO;2022;53236;Estimativa (Spline);5;760;6.578947368421052;2022
171620;1716208;Paranã;TO;2022;10462;Estimativa (Spline);4;141;28.368794326241133;2022
171630;1716307;Pau D'Arco;TO;2022;4827;Estimativa (Spline);1;50;20.0;2022
171650;1716505;Pedro Afonso;TO;2022;14176;Estimativa (Spline);6;222;27.027027027027028;2022
171660;1716604;Peixe;TO;2022;11859;Estimativa (Spline);3;123;24.390243902439025;2022
171665;1716653;Pequizeiro;TO;2022;5526;Estimativa (Spline);2;64;31.25;2022
171670;1716703;Colméia;TO;2022;8134;Estimativa (Spline);0;106;0.0;2022
171700;1717008;Pindorama do Tocantins;TO;2022;4421;Estimativa (Spline);2;62;32.25806451612903;2022
171720;1717206;Piraquê;TO;2022;2973;Estimativa (Spline);0;33;0.0;2022
171750;1717503;Pium;TO;2022;7854;Estimativa (Spline);0;95;0.0;2022
171780;1717800;Ponte Alta do Bom Jesus;TO;2022;4558;Estimativa (Spline);0;41;0.0;2022
171790;1717909;Ponte Alta do Tocantins;TO;2022;8218;Estimativa (Spline);2;104;19.230769230769234;2022
171800;1718006;Porto Alegre do Tocantins;TO;2022;3200;Estimativa (Spline);2;37;54.054054054054056;2022
171820;1718204;Porto Nacional;TO;2022;55208;Estimativa (Spline);16;1025;15.609756097560975;2022
171830;1718303;Praia Norte;TO;2022;8694;Estimativa (Spline);0;91;0.0;2022
171840;1718402;Presidente Kennedy;TO;2022;3608;Estimativa (Spline);0;33;0.0;2022
171845;1718451;Pugmil;TO;2022;2721;Estimativa (Spline);0;29;0.0;2022
171850;1718501;Recursolândia;TO;2022;4341;Estimativa (Spline);0;66;0.0;2022
171855;1718550;Riachinho;TO;2022;4691;Estimativa (Spline);0;59;0.0;2022
171865;1718659;Rio da Conceição;TO;2022;2205;Estimativa (Spline);0;24;0.0;2022
171870;1718709;Rio dos Bois;TO;2022;2893;Estimativa (Spline);0;32;0.0;2022
171875;1718758;Rio Sono;TO;2022;6354;Estimativa (Spline);1;63;15.873015873015872;2022
171880;1718808;Sampaio;TO;2022;4891;Estimativa (Spline);1;82;12.195121951219512;2022
171884;1718840;Sandolândia;TO;2022;3416;Estimativa (Spline);1;63;15.873015873015872;2022
171886;1718865;Santa Fé do Araguaia;TO;2022;7725;Estimativa (Spline);1;121;8.264462809917356;2022
171888;1718881;Santa Maria do Tocantins;TO;2022;3501;Estimativa (Spline);0;47;0.0;2022
171889;1718899;Santa Rita do Tocantins;TO;2022;2412;Estimativa (Spline);0;27;0.0;2022
171890;1718907;Santa Rosa do Tocantins;TO;2022;4873;Estimativa (Spline);2;73;27.397260273972602;2022
171900;1719004;Santa Tereza do Tocantins;TO;2022;2948;Estimativa (Spline);1;50;20.0;2022
172000;1720002;Santa Terezinha do Tocantins;TO;2022;2524;Estimativa (Spline);1;35;28.57142857142857;2022
172010;1720101;São Bento do Tocantins;TO;2022;5550;Estimativa (Spline);0;102;0.0;2022
172015;1720150;São Félix do Tocantins;TO;2022;1642;Estimativa (Spline);0;18;0.0;2022
172020;1720200;São Miguel do Tocantins;TO;2022;12696;Estimativa (Spline);1;145;6.896551724137931;2022
172025;1720259;São Salvador do Tocantins;TO;2022;3051;Estimativa (Spline);0;38;0.0;2022
172030;1720309;São Sebastião do Tocantins;TO;2022;4869;Estimativa (Spline);1;62;16.129032258064516;2022
172049;1720499;São Valério;TO;2022;3872;Estimativa (Spline);1;53;18.867924528301884;2022
172065;1720655;Silvanópolis;TO;2022;5453;Estimativa (Spline);2;76;26.31578947368421;2022
172080;1720804;Sítio Novo do Tocantins;TO;2022;9156;Estimativa (Spline);2;127;15.748031496062993;2022
172085;1720853;Sucupira;TO;2022;1986;Estimativa (Spline);0;14;0.0;2022
172090;1720903;Taguatinga;TO;2022;16830;Estimativa (Spline);1;175;5.714285714285714;2022
172093;1720937;Taipas do Tocantins;TO;2022;2186;Estimativa (Spline);1;28;35.714285714285715;2022
172097;1720978;Talismã;TO;2022;2817;Estimativa (Spline);1;28;35.714285714285715;2022
172100;1721000;Palmas;TO;2022;319480;Estimativa (Spline);51;4762;10.709785804283914;2022
172110;1721109;Tocantínia;TO;2022;7748;Estimativa (Spline);1;170;5.88235294117647;2022
172120;1721208;Tocantinópolis;TO;2022;22846;Estimativa (Spline);5;331;15.105740181268883;2022
172125;1721257;Tupirama;TO;2022;1978;Estimativa (Spline);0;24;0.0;2022
172130;1721307;Tupiratins;TO;2022;2745;Estimativa (Spline);0;23;0.0;2022
172208;1722081;Wanderlândia;TO;2022;11729;Estimativa (Spline);2;120;16.666666666666668;2022
172210;1722107;Xambioá;TO;2022;11416;Estimativa (Spline);1;156;6.41025641025641;2022
520005;5200050;Abadia de Goiás;GO;2021;9158;Original;4;213;18.779342723004696;2021
520010;5200100;Abadiânia;GO;2021;20873;Original;2;182;10.989010989010989;2021
520013;5200134;Acreúna;GO;2021;22710;Original;2;239;8.368200836820083;2021
520015;5200159;Adelândia;GO;2021;2515;Original;0;24;0.0;2021
520017;5200175;Água Fria de Goiás;GO;2021;5843;Original;1;49;20.408163265306122;2021
520020;5200209;Água Limpa;GO;2021;1809;Original;1;17;58.8235294117647;2021
520025;5200258;Águas Lindas de Goiás;GO;2021;222850;Original;36;3094;11.635423400129282;2021
520030;5200308;Alexânia;GO;2021;28360;Original;5;398;12.56281407035176;2021
520050;5200506;Aloândia;GO;2021;1976;Original;0;17;0.0;2021
520055;5200555;Alto Horizonte;GO;2021;6796;Original;0;115;0.0;2021
520060;5200605;Alto Paraíso de Goiás;GO;2021;7751;Original;2;141;14.184397163120567;2021
520080;5200803;Alvorada do Norte;GO;2021;8749;Original;3;131;22.900763358778626;2021
520082;5200829;Amaralina;GO;2021;3875;Original;0;20;0.0;2021
520085;5200852;Americano do Brasil;GO;2021;6220;Original;0;82;0.0;2021
520090;5200902;Amorinópolis;GO;2021;3011;Original;0;25;0.0;2021
520110;5201108;Anápolis;GO;2021;396526;Original;62;5671;10.932816081819785;2021
520120;5201207;Anhanguera;GO;2021;1171;Original;0;7;0.0;2021
520130;5201306;Anicuns;GO;2021;22113;Original;8;208;38.46153846153847;2021
520140;5201405;Aparecida de Goiânia;GO;2021;601844;Original;100;7218;13.854253255749516;2021
520145;5201454;Aparecida do Rio Doce;GO;2021;2474;Original;0;20;0.0;2021
520150;5201504;Aporé;GO;2021;4266;Original;1;69;14.492753623188406;2021
520160;5201603;Araçu;GO;2021;3450;Original;0;23;0.0;2021
520170;5201702;Aragarças;GO;2021;20410;Original;6;221;27.149321266968325;2021
520180;5201801;Aragoiânia;GO;2021;10680;Original;3;155;19.35483870967742;2021
520215;5202155;Araguapaz;GO;2021;7795;Original;0;38;0.0;2021
520235;5202353;Arenópolis;GO;2021;2462;Original;0;30;0.0;2021
520250;5202502;Aruanã;GO;2021;10340;Original;0;99;0.0;2021
520260;5202601;Aurilândia;GO;2021;3000;Original;0;33;0.0;2021
520280;5202809;Avelinópolis;GO;2021;2401;Original;1;23;43.47826086956522;2021
520310;5203104;Baliza;GO;2021;5418;Original;0;30;0.0;2021
520320;5203203;Barro Alto;GO;2021;11643;Original;2;142;14.084507042253522;2021
520330;5203302;Bela Vista de Goiás;GO;2021;31004;Original;3;420;7.142857142857142;2021
520340;5203401;Bom Jardim de Goiás;GO;2021;8912;Original;0;120;0.0;2021
520350;5203500;Bom Jesus de Goiás;GO;2021;26069;Original;1;340;2.941176470588235;2021
