cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;ano;populacao;tipo;total_nascimentos;prenatal_7mais;COBERTURA_PRENATAL;ANO
170360;1703602;Brasilândia do Tocantins;TO;2022;2210;Estimativa (Spline);28;16;57.14285714285714;2022
170370;1703701;Brejinho de Nazaré;TO;2022;5489;Estimativa (Spline);53;41;77.35849056603774;2022
170380;1703800;Buriti do Tocantins;TO;2022;11665;Estimativa (Spline);120;95;79.16666666666666;2022
170382;1703826;Cachoeirinha;TO;2022;2273;Estimativa (Spline);26;16;61.53846153846154;2022
170384;1703842;Campos Lindos;TO;2022;10508;Estimativa (Spline);160;129;80.625;2022
170386;1703867;Cariri do Tocantins;TO;2022;4511;Estimativa (Spline);59;55;93.22033898305084;2022
170388;1703883;Carmolândia;TO;2022;2612;Estimativa (Spline);27;19;70.37037037037037;2022
170389;1703891;Carrasco Bonito;TO;2022;4119;Estimativa (Spline);54;46;85.18518518518519;2022
170390;1703909;Caseara;TO;2022;5522;Estimativa (Spline);62;47;75.80645161290323;2022
170410;1704105;Centenário;TO;2022;2913;Estimativa (Spline);15;9;60.0;2022
170460;1704600;Chapada de Areia;TO;2022;1433;Estimativa (Spline);26;15;57.692307692307686;2022
170510;1705102;Chapada da Natividade;TO;2022;3318;Estimativa (Spline);43;34;79.06976744186046;2022
170550;1705508;Colinas do Tocantins;TO;2022;36560;Estimativa (Spline);511;382;74.75538160469667;2022
170555;1705557;Combinado;TO;2022;4881;Estimativa (Spline);57;46;80.7017543859649;2022
170560;1705607;Conceição do Tocantins;TO;2022;4049;Estimativa (Spline);52;43;82.6923076923077;2022
170600;1706001;Couto Magalhães;TO;2022;5713;Estimativa (Spline);65;46;70.76923076923077;2022
170610;1706100;Cristalândia;TO;2022;7189;Estimativa (Spline);73;60;82.1917808219178;2022
170625;1706258;Crixás do Tocantins;TO;2022;1738;Estimativa (Spline);16;13;81.25;2022
170650;1706506;Darcinópolis;TO;2022;6289;Estimativa (Spline);102;68;66.66666666666666;2022
170700;1707009;Dianópolis;TO;2022;22493;Estimativa (Spline);291;202;69.41580756013745;2022
170710;1707108;Divinópolis do Tocantins;TO;2022;7048;Estimativa (Spline);87;75;86.20689655172413;2022
170720;1707207;Dois Irmãos do Tocantins;TO;2022;7097;Estimativa (Spline);82;64;78.04878048780488;2022
170730;1707306;Dueré;TO;2022;4654;Estimativa (Spline);58;46;79.3103448275862;2022
170740;1707405;Esperantina;TO;2022;11044;Estimativa (Spline);118;81;68.64406779661016;2022
170755;1707553;Fátima;TO;2022;3793;Estimativa (Spline);53;36;67.9245283018868;2022
170765;1707652;Figueirópolis;TO;2022;5218;Estimativa (Spline);58;23;39.6551724137931;2022
170770;1707702;Filadélfia;TO;2022;8812;Estimativa (Spline);102;61;59.80392156862745;2022
170820;1708205;Formoso do Araguaia;TO;2022;18433;Estimativa (Spline);278;182;65.46762589928058;2022
170825;1708254;Tabocão;TO;2022;2721;Estimativa (Spline);55;41;74.54545454545455;2022
170830;1708304;Goianorte;TO;2022;5115;Estimativa (Spline);49;33;67.3469387755102;2022
170900;1709005;Goiatins;TO;2022;13195;Estimativa (Spline);235;140;59.57446808510638;2022
170930;1709302;Guaraí;TO;2022;26520;Estimativa (Spline);330;232;70.3030303030303;2022
170950;1709500;Gurupi;TO;2022;89205;Estimativa (Spline);1244;945;75.96463022508038;2022
170980;1709807;Ipueiras;TO;2022;2073;Estimativa (Spline);9;5;55.55555555555556;2022
171050;1710508;Itacajá;TO;2022;7442;Estimativa (Spline);119;74;62.18487394957983;2022
171070;1710706;Itaguatins;TO;2022;5728;Estimativa (Spline);64;38;59.375;2022
171090;1710904;Itapiratins;TO;2022;3818;Estimativa (Spline);49;41;83.6734693877551;2022
171110;1711100;Itaporã do Tocantins;TO;2022;2411;Estimativa (Spline);46;38;82.6086956521739;2022
171150;1711506;Jaú do Tocantins;TO;2022;3882;Estimativa (Spline);34;27;79.41176470588235;2022
171180;1711803;Juarina;TO;2022;2178;Estimativa (Spline);35;32;91.42857142857143;2022
171190;1711902;Lagoa da Confusão;TO;2022;14429;Estimativa (Spline);260;186;71.53846153846153;2022
171195;1711951;Lagoa do Tocantins;TO;2022;4450;Estimativa (Spline);75;53;70.66666666666667;2022
171200;1712009;Lajeado;TO;2022;3252;Estimativa (Spline);43;30;69.76744186046511;2022
171215;1712157;Lavandeira;TO;2022;1977;Estimativa (Spline);23;13;56.52173913043478;2022
171240;1712405;Lizarda;TO;2022;3658;Estimativa (Spline);44;27;61.36363636363637;2022
171245;1712454;Luzinópolis;TO;2022;3199;Estimativa (Spline);36;27;75.0;2022
171250;1712504;Marianópolis do Tocantins;TO;2022;5340;Estimativa (Spline);77;63;81.81818181818183;2022
171270;1712702;Mateiros;TO;2022;2816;Estimativa (Spline);49;35;71.42857142857143;2022
171280;1712801;Maurilândia do Tocantins;TO;2022;3460;Estimativa (Spline);35;27;77.14285714285715;2022
171320;1713205;Miracema do Tocantins;TO;2022;17518;Estimativa (Spline);270;178;65.92592592592592;2022
171330;1713304;Miranorte;TO;2022;13553;Estimativa (Spline);190;143;75.26315789473685;2022
171360;1713601;Monte do Carmo;TO;2022;8046;Estimativa (Spline);69;49;71.01449275362319;2022
171370;1713700;Monte Santo do Tocantins;TO;2022;2340;Estimativa (Spline);20;15;75.0;2022
171380;1713809;Palmeiras do Tocantins;TO;2022;6719;Estimativa (Spline);71;58;81.69014084507043;2022
171395;1713957;Muricilândia;TO;2022;3638;Estimativa (Spline);35;30;85.71428571428571;2022
171420;1714203;Natividade;TO;2022;9237;Estimativa (Spline);110;80;72.72727272727273;2022
171430;1714302;Nazaré;TO;2022;3810;Estimativa (Spline);61;55;90.1639344262295;2022
171488;1714880;Nova Olinda;TO;2022;11962;Estimativa (Spline);165;134;81.21212121212122;2022
171500;1715002;Nova Rosalândia;TO;2022;4296;Estimativa (Spline);35;29;82.85714285714286;2022
171510;1715101;Novo Acordo;TO;2022;4457;Estimativa (Spline);83;43;51.80722891566265;2022
171515;1715150;Novo Alegre;TO;2022;2288;Estimativa (Spline);11;8;72.72727272727273;2022
