cod_mun_ibge_6;ANO;municipio;UF;populacao;TMI;COBERTURA_PRENATAL;TAXA_MEDICOS;PROP_CESAREOS;PROP_MAL_DEFINIDAS;TX_MAL_DEFINIDAS_P10K;DOENCAS_CRONICAS;PROP_MAE_ADOL;TAXA_DETECCAO_HANSENIASE;TAXA_INTERNACAO_GERAL;TAXA_EQUIPES_ESF;cluster_num;perfil;cor
170820;2020;Formoso do Araguaia;TO;18399;12.145748987854251;60.72874493927125;0.10870155986738408;59.91902834008097;2.272727272727273;1.6305233980107614;8.696124789390728;19.4331983805668;38.04554595358444;45.980759823903476;22.82732757215066;0;Vulnerabilidade Social/Sanitária;#d73027
170825;2020;Tabocão;TO;2602;0.0;43.54838709677419;0.7686395080707148;80.64516129032258;0.0;0.0;7.686395080707149;17.741935483870968;38.431975403535745;65.71867794004612;30.745580322828594;2;Atenção Primária Efetiva;#1a9850
170830;2020;Goianorte;TO;5130;0.0;70.76923076923077;0.3898635477582846;76.92307692307693;5.0;1.949317738791423;1.949317738791423;26.153846153846157;38.98635477582846;33.72319688109162;31.189083820662766;2;Atenção Primária Efetiva;#1a9850
170900;2020;Goiatins;TO;13095;16.949152542372882;51.69491525423729;0.15273004963726614;39.83050847457627;6.41025641025641;3.8182512409316534;15.273004963726613;32.6271186440678;15.273004963726612;47.499045437189764;30.546009927453227;0;Vulnerabilidade Social/Sanitária;#d73027
170930;2020;Guaraí;TO;26165;5.405405405405405;62.70270270270271;0.0764379896808714;77.83783783783784;1.3245033112582782;0.764379896808714;9.554748710108925;18.91891891891892;26.75329638830499;48.69099942671508;30.575195872348555;2;Atenção Primária Efetiva;#1a9850
170950;2020;Gurupi;TO;87545;3.117692907248636;71.31722525331254;0.022845393797475584;75.05845674201092;1.0101010101010102;0.5711348449368896;5.939802387343652;13.87373343725643;47.975326974698724;49.231823633559884;26.157975898109544;2;Atenção Primária Efetiva;#1a9850
170980;2020;Ipueiras;TO;2052;0.0;65.0;0.4873294346978557;45.0;0.0;0.0;19.49317738791423;25.0;0.0;51.16959064327485;38.98635477582846;2;Atenção Primária Efetiva;#1a9850
171050;2020;Itacajá;TO;7452;32.786885245901644;50.0;0.2683843263553409;45.90163934426229;2.0408163265306123;1.3419216317767042;18.78690284487386;26.229508196721312;107.35373054213633;48.980139559849704;32.2061191626409;0;Vulnerabilidade Social/Sanitária;#d73027
171070;2020;Itaguatins;TO;5832;0.0;46.26865671641791;0.17146776406035663;50.74626865671642;0.0;0.0;17.146776406035663;22.388059701492537;17.146776406035663;18.00411522633745;39.437585733882024;2;Atenção Primária Efetiva;#1a9850
171090;2020;Itapiratins;TO;3795;17.543859649122805;66.66666666666666;0.5270092226613965;78.94736842105263;4.0;2.6350461133069825;0.0;22.807017543859647;0.0;38.471673254281946;26.350461133069828;0;Vulnerabilidade Social/Sanitária;#d73027
